,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
1527 鑽全,3.98,3.8,1.24,6.75,4.78,0.5,0.32,6.31,3.66,1.79,1.74,3.43,2.46,2.3,1.29,0.37,0.29,0.55,-0.52
1528 恩德,0.35,0.3,0.15,-0.24,0.06,0.05,0,0.12,0.03,0.23,0.18,0.73,0.55,0.51,0.15,0.62,0.46,0.27,0.02
1529 樂士,0,0.01,0.06,-0.72,-0.17,-0.11,-0.02,-0.25,-0.17,-0.18,-0.02,-0.33,-0.28,-0.03,-0.03,-1.02,-1,-0.98,-0.23
1530 亞崴,0.88,0.73,0.25,2.98,2.57,0.82,0.73,2.97,1.93,1.18,0.74,2.57,1.69,1.32,0.78,2.9,2.55,1.57,0.73
1531 高林股,0.36,0.24,0.04,0.79,0.7,0.35,0.11,1.05,0.74,0.58,0.39,1.47,1.22,0.92,0.49,1.69,1.05,0.33,0.35
1532 勤美,1.8,0.83,0.48,2.8,1.83,0.96,0.58,1.36,0.4,0.17,0.22,8.28,1.68,1.12,0.49,1.78,1.22,0.86,0.35
1533 車王電,0.6,0.4,0.29,1.72,1.29,0.5,0.22,2.41,1.79,1.38,0.91,2.11,1.49,0.8,0.38,0.79,1.21,0.97,0.15
1535 中宇,1.6,1.11,0.58,4.11,3.08,2.07,1.08,5.51,3.76,2.17,1.13,5.06,3.87,2.72,1.52,5.51,4.47,2.9,1.5
1536 和大,3.36,2.4,1.1,4.62,3.37,1.88,0.87,3.06,2.11,1.37,0.68,2.3,1.8,1.13,0.65,1.65,1.31,0.94,0.48
1537 廣隆,8.01,5.25,2.29,9.42,6.92,3.84,1.89,8.09,5.75,3.52,1.81,7.02,5.39,3.85,2.24,7.58,5.29,2.99,1.09
1538 正峰新,-0.04,-0.05,0,-0.65,-0.17,-1.94,-1.05,-0.64,-0.17,0.12,0.15,-2.83,-1.13,-0.82,-0.53,-1.34,-0.97,-0.66,-0.29
1539 巨庭,1.77,1.53,0.89,3.42,3.1,1.23,0.72,2.01,1.55,0.91,0.4,1.38,1.21,0.93,0.45,-0.25,-0.23,-0.22,-0.25
1540 喬福,0.25,0.25,0.16,0.73,1.08,0.64,0.54,2.5,1.46,1.04,0.64,1.48,0.97,0.81,0.41,1.19,1.51,1.14,0.49
1541 錩泰,2.93,2.24,1.13,3.59,2.84,0.94,0.43,2.06,1.24,0.62,0.5,-0.29,0,0.19,-0.08,-1.03,-0.39,-0.15,0.02
1558 伸興,9.96,5.71,1.46,14.19,11.26,5.11,1.91,13.7,10.09,5.21,2.45,13.05,10.59,6.05,2.76,11.63,9.35,5.11,1.44
1560 中砂,2.51,1.6,0.69,4.14,3.31,2.21,1.07,4.63,3.51,2.45,1.08,3.73,2.74,1.76,0.83,3.15,2.23,1.41,0.67
