,M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元),M每股盈餘(元)
公司,2016/9/30,2016/6/30,2016/3/31,2015/12/31,2015/9/30,2015/6/30,2015/3/31,2014/12/31,2014/9/30,2014/6/30,2014/3/31,2013/12/31,2013/9/30,2013/6/28,2013/3/29,2012/12/28,2012/9/28,2012/6/29,2012/3/30
4401 東隆興,3.37,2.2,1.05,4.55,3.47,2.35,0.89,3.65,2.95,1.94,0.94,5.32,3.79,2.43,1.1,2.35,1.68,0.93,0.49
4402 福大,1.08,-1.23,-0.66,-4.49,-3.18,-1.9,-0.84,-2.85,-1.79,-0.48,-0.24,-1.98,-1.63,-1.04,-0.42,-2.04,-1.53,-0.83,-0.24
4406 新昕纖,0.13,0.21,-0.04,0.02,0.01,0.01,-0.18,-0.33,-0.2,-0.05,-0.11,-0.43,-0.27,-0.05,-0.04,-0.35,-0.4,-0.24,-0.07
4413 飛寶,-0.12,-0.12,-0.11,0.36,0.28,-0.12,-0.12,-0.23,-0.2,-0.13,0,-0.47,-0.42,-0.25,-0.36,-0.67,-0.67,-0.68,-0.28
4414 如興,-1.09,-0.48,-0.34,-3.61,-0.98,-0.86,-0.43,0.29,0.48,0.31,0.63,1.32,1.08,0.74,0.35,0.9,1.01,0.41,0.06
4415 台原藥,-0.43,-0.3,-0.18,-0.93,-0.2,-0.23,-0.13,-2.45,-1.5,-0.77,-0.6,-1.55,-1.27,-0.67,-0.35,-2.46,-2.45,-1.94,-2.51
4416 三圓,-1.16,-0.83,-0.09,16.29,16.29,16.33,0.9,8.75,8.89,6.62,0.83,1.16,0.78,0.81,0.49,21.16,19.35,15.04,1.49
4417 金洲,3.94,2.48,0.87,3.44,2.96,2.04,1.23,2.43,1.57,0.8,0.42,1.8,1.32,0.78,0.66,4.71,4.39,0.78,0.43
4419 松懋,-1.09,-0.54,-0.7,-3.37,-1.08,-0.86,-0.48,-1.47,-1.06,-0.49,-0.24,-2.29,-1.26,-0.32,-0.1,-0.47,-0.45,-0.28,-0.15
4420 光明,0.43,0.29,0.24,3.33,2.93,2.77,0.21,1.03,0.66,0.42,-0.08,0.07,0.07,0.1,0.14,0.69,0.6,0.47,0.26
4426 利勤,4.94,3.64,2.7,6.65,4.98,3.65,1.8,3.51,2.02,1.1,0.74,2.82,2.05,1.45,0.81,2.28,1.82,1.09,0.36
4429 聚紡,0.3,0.34,0.48,0.44,1.23,0.7,0.43,0.59,0.8,0.8,0.21,0.89,0.84,0.65,0.14,1.12,1.27,1.26,0.75
4430 耀億,0.69,0.72,0.58,2.25,1.92,1.41,0.64,2.32,1.83,1.59,0.62,2.38,2.29,1.98,0.97,2.47,2.07,1.71,0.61
4432 銘旺實,2.66,2.22,1.26,5.14,4.34,2.18,1.5,5.54,4.42,2.84,2.1,5.09,3.62,2.96,2.13,4.89,3.37,2.11,1.03
4433 興采,1.04,1.03,0.21,2.32,1.88,1.7,0.02,1.3,1.45,1.32,0.65,2.59,2.77,2.47,0.95,2.42,,2.26,
4438 廣越,7.48,0.87,-0.95,10.21,9.54,1.52,,12.2,,,,9.97,,,,11.26,,,
4502 健信,0.36,0.34,0.02,0.25,-1.23,0.05,-0.12,-1.23,-0.93,-0.57,-0.35,-2.42,-1.97,-1.18,-0.61,-1.6,-1.08,-0.58,0.14
4503 金雨,0.4,0.4,0.16,-0.07,0.05,0,-0.03,-0.62,-0.45,-0.34,-0.23,-0.64,-0.33,-0.19,-0.22,-0.06,-0.66,-0.43,-0.34
4506 崇友,2.75,2.02,1.12,2.47,2.24,1.44,0.68,1.82,1.34,0.88,0.38,1.58,1.46,1.02,0.61,1.5,1.23,0.9,0.61
4510 高鋒,0.63,0.33,0.01,1.12,1.24,0.64,0.4,1.76,1.21,0.83,0.65,1.5,1.12,0.63,0.14,0.22,0.27,0.25,0.02
4513 福裕,-0.87,-0.46,-0.33,1.63,2.11,0.06,0.08,0.34,0.11,0.08,-0.06,-0.6,-0.62,-0.36,-0.16,0.32,0.54,0.53,0.15
4523 永彰,0.24,-0.05,-0.21,-0.02,-0.41,-0.17,-0.23,0.55,0.24,0.17,0.21,0.63,0.43,0.34,0.43,0.32,0.81,0.36,0.24
4526 東台,0.03,0.14,-0.07,1.06,1.03,0.23,0.06,2.51,2.1,1.12,0.61,1.23,0.99,0.68,0.12,0.98,0.74,0.46,0.25
4527 方土霖,1.94,0.97,0.28,2.43,1.35,0.78,0.32,2.34,1.81,1.14,0.42,2.15,1.19,0.6,0.14,2.11,1.47,0.76,0.26
4528 江興鍛,2.05,1.33,0.66,3.56,2.72,1.9,1.07,2.9,1.86,1,0.56,2.3,1.68,1.1,0.57,1.95,1.67,1.26,0.64
4529 昶洧,-1.59,-1.1,-0.96,-2.23,-1.44,-1.05,-0.49,-1.74,-1.09,-0.47,-0.11,1.47,1.53,1.7,-0.05,-0.66,-0.5,-0.53,0.06
4530 宏易,3.15,-0.86,-0.4,-1.85,-0.76,-1.1,-0.49,-1.68,-1.19,-0.87,-0.44,-3.39,-0.53,-0.22,-0.11,-1.96,-0.57,-0.28,-0.3
4532 瑞智,2.33,1.75,0.65,1.86,1.63,1.12,0.51,2.3,1.9,1.21,0.59,2.02,1.48,1.01,0.41,2.21,1.71,1.25,0.61
4533 協易機,1.01,0.7,0.36,0.57,0.57,0.45,0.06,1.27,1.08,0.94,0.48,1.4,1.02,0.77,0.43,0.86,0.67,0.64,0.07
4534 慶騰,1.23,0.38,-0.02,0.59,0.35,-0.08,-0.16,0.98,0.75,0.43,0.01,1.06,0.62,0.35,-0.01,-0.84,-0.56,-0.5,-0.41
4535 至興,2.41,1.6,0.85,3.32,2.56,1.5,0.73,2.97,2.28,1.61,0.95,2.91,2.18,1.55,0.74,2.79,2.27,1.72,1.08
4536 拓凱,5.82,3.62,1.51,6.73,5.25,2.58,0.74,6.07,4.28,2.02,0.68,6.31,5.39,3.67,1.85,5.51,,1.37,
4541 晟田,-0.23,0.08,-0.21,1.05,0.81,0.44,0.15,2.02,1.6,1.09,0.59,2.23,1.44,1.05,0.25,1.12,,,
4542 科嶠,-2.14,-1.44,-1.17,-0.39,0.47,0.11,0.27,5.62,4.43,2.82,1.89,4.93,3.46,2.29,1.05,4.68,,1.35,
4543 萬在,0.63,0.49,0.13,2.06,1.76,0.88,0.78,3.6,3,2.27,,2.79,,1.22,,2.39,,1.7,
4545 銘鈺,1.81,1.45,0.57,7.53,6.24,3.82,2.45,8.01,5.95,2.71,1.22,4.25,,0.8,,3.86,,,
4549 桓達,2.73,1.98,1.27,3.5,2.7,1.75,0.71,5.68,4.13,2.89,1.01,5.12,,,,5.37,,,
4550 長佳,2.36,1.82,0.57,1.34,1.22,1,0.31,2.24,1.27,0.7,0.15,3.11,,0.5,,3.95,,-0.1,
4551 智伸科,3.9,2.65,1.27,3.74,2.74,1.66,0.65,4.27,3.27,2.28,1.15,2.8,,1.59,,1.65,,,
4552 力達-KY,7.98,5.47,2.87,10.38,7.82,5.05,2.31,9.15,6.99,4.67,3.55,3.53,,,,9.74,,,
4554 橙的,1.54,1.05,0.27,2.32,1.84,0.98,0.65,2.88,,1.11,0.52,4.4,,1.25,,3.44,,,
4555 氣立,1.92,1.29,0.33,3.89,3.79,2.19,0.64,5.32,4.19,2.5,0.71,6.03,,3.12,,8.22,,,
4556 旭然,0.28,0.28,0.03,0.89,0.55,0.11,0.04,1.3,0.72,0.52,0.07,1.61,,,,0.8,,,
4557 永新-KY,4.89,3.15,1.06,5.86,4.74,2.34,0.78,5.68,4.16,2.53,0.95,5.51,,,,3.24,,,
4609 唐鋒,0.43,-0.01,-0.02,-0.4,-0.21,-1.05,-0.46,-0.71,-0.24,-0.35,-0.26,-0.47,-0.25,-0.23,-0.19,-1,-0.43,-0.5,-0.31
4702 中美實,-0.35,-0.27,-0.15,0.36,0.43,0.38,0.26,0.51,0.07,-0.08,0.04,-0.02,-0.1,0.04,0.16,-0.14,-0.19,-0.06,0.01
4706 大恭,1.57,1.06,0.43,1.35,0.79,0.36,0.15,0.97,0.8,0.44,0.28,1.27,1.04,0.6,0.26,1.04,0.88,0.48,0.19
4707 磐亞,0.8,0.45,0.22,0.94,0.89,0.62,0.39,0.19,0.6,0.4,0.27,0.34,0.45,0.31,0.12,0.34,0.34,0.28,0.1
4711 永純,1.25,0.9,0.37,0.72,0.43,0.15,0.11,0.46,0.31,0.26,0.19,0.65,0.34,0.31,0.16,0.75,0.61,0.59,0.34
4712 南璋,-0.83,-0.45,-0.18,-1.24,-0.28,-0.2,-0.08,-2.22,-1.59,-0.42,-0.23,-4.51,-4.05,-3.92,-7.63,2.42,2.51,2.93,0.7
4714 永捷,0.41,0.14,0.07,0.27,0.31,0.24,0.16,0.29,0.25,0.31,0.39,0.85,0.5,0.35,0.22,0.07,0.21,0.39,0.1
4716 大立,0.3,0.23,0.06,0.57,0.32,0.19,0.12,0.51,0.29,0.19,0.12,0.66,0.53,0.38,0.21,1.05,0.85,0.49,0.28
4720 德淵,0.64,0.45,0.2,1.24,1.05,0.55,0.22,1.1,0.68,0.21,0.03,0.68,0.55,0.52,0.14,1.02,0.83,0.55,0.22
4721 美琪瑪,1.24,0.95,0.49,1.55,1.27,0.42,0.24,1.53,1.15,0.91,0.62,1.08,0.68,0.29,0.06,0.84,0.81,0.45,0.21
4722 國精化,2.87,2.08,1.04,3.94,2.83,1.51,0.68,2.03,1.21,0.56,0.26,1.63,1.2,0.71,0.44,2.5,1.5,0.78,0.31
4725 信昌化,-1.28,-0.99,-1.06,-6.38,-4.76,-3.41,-2.3,-1.97,-0.76,-0.43,-0.17,-2.24,-1.34,-0.54,-0.18,-0.34,0.07,0.49,0.67
4726 永昕,-1.24,-1.03,-0.55,-1.01,-0.85,-0.81,-0.33,-0.79,-0.82,-0.47,-0.4,-0.94,-0.85,-0.55,-0.39,-1.75,,-0.88,
4728 雙美,-0.19,-0.27,0.06,-0.81,-0.43,-0.26,-0.02,0.37,0.26,0.11,0.11,0.88,0.68,0.48,0.25,0.3,0.04,0.13,0.18
4729 熒茂,1.57,1.01,0.59,0.09,-0.53,-0.57,-0.54,-0.85,-0.7,-0.71,-0.87,-7.63,-4.03,-2.79,-1.44,-4.72,-2.77,-1.78,-0.91
4735 豪展,1.45,0.65,0.45,1.97,1.37,0.6,0.25,0.91,0.57,0.24,0.03,-1.09,-0.49,0.07,-0.31,-0.87,-0.55,-0.56,-0.17
4736 泰博,5.02,4.09,2.09,6.45,4.87,1.62,0.25,6.61,5.04,2.8,1.8,5.42,3.79,3.11,1.62,2.56,1.61,0.93,0.79
4737 華廣,1.69,0.83,0.2,1.91,1.22,0.63,0.39,1.22,0.36,0.11,0.06,2.05,1.9,1.19,0.46,0.78,0.6,0.05,0.02
4739 康普,2.76,2.31,1.74,1.71,1.33,1.19,0.76,3.62,2.41,1.4,0.46,0.28,0.23,-0.03,-0.12,0.03,0.12,0.22,0.18
4743 合一,0.12,-0.31,-0.18,-0.5,-0.36,-0.28,-0.16,1.31,1.06,-0.14,-0.15,2.16,2.5,1.11,0.16,-0.21,-0.29,0.03,0.35
4745 合富-KY,2.16,1.65,0.9,6.04,2.84,2.4,1.66,5.7,4.06,2.89,1.63,5.1,4.01,2.87,1.32,3.81,3.06,2.09,
4746 台耀,3.95,2.86,1.19,3.32,2.02,0.69,0.49,3.11,2.42,1.36,0.66,-0.97,-1.72,-2.41,-2.45,0.07,0.4,0.7,0.36
4747 強生,1.57,1.18,0.64,2.1,1.44,0.96,0.49,2.77,2.29,1.44,0.78,3.24,2.04,1.44,0.8,2.71,,1.26,
4754 國碳科,2.6,1.76,0.49,2.6,1.58,0.75,0.48,1.42,,0.39,,1.38,,0.77,,0.52,,,
4755 三福化,2.5,1.69,0.49,2.27,1.59,0.91,0.4,1.63,1.2,0.75,0.11,1.62,1.42,1.11,0.53,2.96,,,
4762 三汰-KY,3.4,2.58,1.19,4.76,3.14,2.26,0.74,5.77,2.53,1.54,0.53,5.9,,,,,,,
4763 材料-KY,4.25,3.04,1.32,6.33,4.55,2.91,1.49,5.6,,,,,,,,,,,
4803 VHQ-KY,5.03,1.76,0.54,4.13,2.35,0.24,-0.68,3.8,1.54,0.45,0.34,3.94,,,,,,,
4804 大略-KY,2.34,2.96,0.57,5.09,2.61,2.01,0.05,2.53,0.33,0.85,0.16,2.12,,1.48,,-4.58,,,
4806 昇華,0.04,0.12,0.7,3.01,1.55,1.53,1.3,3.12,,1.41,,1.41,,0.62,,1.02,,,
4903 聯光通,-0.4,-0.24,-0.08,0.31,0.23,-0.09,0.06,0.54,0.03,-0.11,-0.08,-0.32,-0.44,-0.32,-0.16,0.9,0.68,0.24,0.07
4904 遠傳,2.83,1.84,0.92,3.52,2.87,1.89,0.92,3.52,2.9,2.02,0.95,3.63,2.79,1.82,0.85,3.25,2.51,1.57,0.74
4905 台聯電,6.11,3.45,2.13,2.41,1.05,0.04,0.33,0.41,0.3,0.26,0.04,-0.12,-0.23,-0.27,-0.09,2.91,2.34,1.46,0.83
4906 正文,1.4,0.7,0.16,0.69,0.7,0.2,0.17,0.23,0.2,0.19,0.16,1.48,1.32,1.2,0.73,3.01,2.55,1.66,0.42
4907 富宇,-0.1,-0.1,-0.09,1.55,0.77,0.42,-0.06,0.48,-0.34,-0.13,-0.26,1.38,0.5,-0.24,-0.21,0.61,-0.4,-0.22,-0.06
4908 前鼎,0.9,0.82,0.44,0.76,0.62,0.32,0.23,2.68,2.02,1.45,0.77,1.76,1.32,0.89,0.49,2.34,1.95,1.43,0.58
4909 新復興,1.42,1,0.62,2.6,1.83,0.7,0.42,3.04,2.41,1.59,0.94,3.08,2.38,1.6,0.71,2.1,1.48,0.84,0.32
4911 德英,-0.23,-0.12,-0.05,-0.21,-0.24,-0.2,-0.07,0.25,0.18,0.12,0.07,-0.07,-0.02,-0.06,-0.11,-0.21,-0.09,-0.08,-0.03
4912 聯德控股-KY,1.37,-0.16,-1.29,5.19,3.82,1.68,1.54,6.73,3.88,2.49,0.87,4,3.29,1.48,0.8,7.24,6.83,4.99,1.5
4915 致伸,3.21,1.93,0.91,4.06,2.91,1.76,0.85,3.57,2.81,1.7,0.75,1.55,1.6,1.13,0.54,3.07,2.32,1.67,0.77
4916 事欣科,1.69,0.89,0.33,-0.39,-0.12,-0.41,-0.13,0.16,0.19,0.46,0.33,2.51,2.19,1.47,0.89,7.54,,4.89,
4919 新唐,2.33,1.63,0.38,2.26,1.95,1.23,0.46,1.65,1.51,1.08,0.21,1.25,1.13,0.87,0.32,3.02,2.85,1.97,0.48
4924 欣厚-KY,-1.56,-1.28,-0.61,-1.78,-0.62,-0.01,-0.1,-0.95,-0.18,-0.26,0.01,-1.28,-0.97,-1.35,0.42,-2.54,0.16,-0.43,-0.35
4927 泰鼎-KY,2.74,1.87,0.82,4.34,3.18,1.16,0.53,4.06,3.65,2.04,1.09,3.7,3.11,1.75,1.35,6.13,4.9,2.99,1.79
4930 燦星網,0.47,0.36,0.17,-0.61,-0.41,-0.41,0,3.68,0.22,-0.03,-0.05,-0.3,-0.08,-0.18,0.04,-1.8,-1.8,-2.06,-0.2
4933 友輝,1.38,0.82,0.24,2.24,1.28,0.41,0.15,3.04,2.64,1.9,1,5.66,4.51,4.24,2.14,10.31,7.07,4,2.06
4934 太極,-0.29,0.86,0.59,1.1,0.41,-0.02,0.1,0.66,0.65,0.72,0.5,1.04,0.68,0.38,-0.34,-7.41,-1.62,-1.2,-0.74
4935 茂林-KY,5.19,3.28,1.33,6.67,4.79,2.31,1.11,4.52,3.29,1.9,1.08,1.57,1.16,0.64,0.42,2.19,1.55,0.53,0.15
4938 和碩,5.22,3.13,1.58,9.23,6.6,4.29,2.48,6.24,3.86,1.82,1.18,4.16,2.7,1.62,1.01,2.71,1.53,0.93,0.57
4939 亞電,-0.41,-0.61,-0.33,-1.85,-1.41,-1.1,-0.61,0.9,0.78,0.39,0.11,1.08,0.81,0.63,0.2,0.59,0.41,0.35,0.11
4942 嘉彰,2.04,1.44,0.6,-3.49,-2.79,-0.52,-0.26,2.59,2.04,1.3,1.04,3.27,2.16,1.04,0.8,4.02,2.48,1.28,0.68
4943 康控-KY,1,0.48,0.31,2.22,1.5,1.04,0.52,1.72,,0.58,,0.34,,-0.61,,0.33,,0.38,0.36
4944 兆遠,-2.77,-2.04,-0.93,-4.29,-2.42,-1.46,-0.87,0.15,0.25,0.09,-0.22,-2.68,-1.7,-1.14,-0.58,-3.01,-0.68,0.14,-0.08
4946 辣椒,-2.68,-1.91,-0.67,-16.01,-8.61,-3.85,-1.59,-3.78,1.46,1.2,0.06,-2.3,-1.15,-1.39,-1.07,-2.72,0.77,0.86,2
4947 昂寶-KY,10.37,7.3,2.16,13.85,9.33,5.02,2.2,14.04,11.22,7.81,3.46,12.81,9.73,5.53,2.02,8.26,6.18,3.63,1.09
4950 牧東,1.76,1.22,1.05,0.25,1.14,-0.43,-0.16,6.28,7.57,6.95,7.05,-5.83,-3.55,-2.32,-0.97,-0.79,-0.92,-1.16,-0.38
4952 凌通,3.18,2.26,0.7,3.57,2.86,1.62,0.42,2.86,2.28,1.39,0.22,2.81,2.64,1.64,0.34,0.56,1.3,0.51,-0.36
4953 緯軟,0.9,0.56,0.3,0.36,1.43,1.15,0.63,2.89,2.1,1.54,0.68,1.6,0.95,0.71,0.42,1.48,,2.21,
4956 光鋐,-0.37,-0.16,-0.21,0.22,0.52,0.27,0.16,1.15,0.89,0.58,0.24,0.6,0.4,0.21,0.08,0.85,0.91,0.7,0.18
4958 臻鼎-KY,2.55,0.78,0.39,9.8,6.46,3.77,1.85,9.12,4.72,2.57,1.23,7.41,4.47,2.52,1.49,5.88,3.9,2.8,1.47
4960 奇美材,-2.52,-1.65,-0.7,2.03,1.85,1.23,0.81,4.36,3.03,2.02,1.08,4.98,3.94,2.61,0.92,3.5,2.61,1.78,1.05
4965 商店街,0.75,0.63,0.32,2.3,1.73,1.4,0.8,3.94,3.21,2.13,1.01,4.48,3.18,2.04,1.11,5.45,3.73,2.26,1.08
4966 譜瑞-KY,13.45,9.43,4.77,15.3,11.33,7.05,3.42,16.48,12.35,7.22,3.47,9.25,4.66,2.3,0.95,24.99,20.72,12.92,5.19
4968 立積,1.83,1.28,0.5,3.26,2.79,1.62,0.61,1.35,0.85,0.75,0.23,0.37,,0.1,,-1.57,,0.13,
4971 IET-KY,2.24,1.74,0.69,3.49,3.07,2.63,1.66,5.74,4.28,2.27,0.66,3.81,3.36,1.98,0.54,4.53,4.13,,
4972 湯石照明,2.76,2,0.99,3.8,2.75,1.38,0.4,2.76,1.75,1.14,0.53,2.19,1.08,0.64,0.29,2.32,1.45,0.77,
4973 廣穎,1.41,1.15,0.66,0.8,-0.44,-0.75,-0.19,2.08,2.06,1.12,0.83,4.47,2.88,2.26,1.33,4.65,3.74,1.87,1.01
4974 亞泰,3.05,1.23,0.03,4.02,3.41,2.01,0.9,4.07,3.16,1.87,0.88,3.87,2.84,1.63,0.64,3.65,3.16,2.15,0.83
4976 佳凌,-0.27,-0.37,-0.26,-1.14,-0.75,-0.68,-0.45,-0.36,0.05,0.24,0.18,1.6,1.53,1.02,0.29,2.55,1.86,1.02,0.52
4977 眾達-KY,4.06,2.89,1.48,5.11,3.57,2.3,1.41,5,3.59,2.29,1,4.5,3.67,2.34,1.06,3.34,,1.46,
4979 華星光,-0.56,0.84,1.35,7.36,5.08,2.88,1.25,3.26,2.01,1.2,0.56,2.04,1.36,1.47,0.65,4.12,3.33,2.05,0.99
4984 科納-KY,5.95,3.86,1.77,3.57,2.15,0.66,0.24,2.49,1.82,0.72,0.34,0.05,-0.15,-0.68,-0.4,0.4,0.83,0.44,0.24
4987 科誠,2.94,1.95,0.99,6.81,5.94,3,1.36,7.52,5.54,3.64,1.85,6.25,4.45,2.41,0.84,4.69,3.54,2.18,1.14
4991 環宇-KY,3.04,1.7,0.29,4.95,3.54,1.93,0.77,4.01,2.36,1.35,0.9,3.06,1.13,1.01,0.5,0.24,,-0.31,
4994 傳奇,-0.86,-0.33,-0.4,0.27,0.23,-0.25,0.26,3.98,3.2,2.5,1.75,4.25,1.75,1.45,0.87,6.89,5.35,3.13,4.82
4995 晶達,1.53,1.03,0.56,2.81,2.36,1.61,0.86,3.33,2.31,1.59,0.69,1.31,0.88,0.72,0.23,0.99,0.65,0.36,0.28
4999 鑫禾,3.84,1.92,0.61,5.89,3.91,1.85,1.12,6.74,4.55,2.8,0.92,5.52,3.66,2.62,1.42,6.22,4.45,2.71,
5007 三星,2.81,1.86,0.87,3.03,2.24,1.6,0.84,3.88,3.01,2.08,1.23,3.95,2.98,2.05,0.94,2.41,2.09,1.41,0.68
5009 榮剛,0.39,0.21,0.04,1.57,1.5,0.9,0.5,1.43,0.96,0.61,0.26,0.62,0.42,0.25,0.05,1.62,1.62,1.32,0.73
5011 久陽,1.02,1,0.41,0.73,0.32,0.04,-0.23,1.8,1.71,1.64,1.04,0.79,0.77,0.48,0.13,1.64,1.71,1.86,1.69
5013 強新,1.96,1.22,0.69,1.82,1.17,0.71,0.58,2.15,1.47,0.91,0.48,1.62,0.99,0.57,0.42,-0.4,-0.08,0.25,0.11
5014 建錩,-0.25,-0.42,-0.58,-1.19,-0.78,-0.14,-0.04,0.92,0.98,0.84,-0.12,-0.46,-0.4,-0.38,-0.07,0.01,-0.28,-0.4,-0.07
5015 華祺,1.89,1.53,0.64,2.43,1.39,0.35,0.05,3.72,2.67,1.53,0.93,1.62,1.13,1.09,0.68,-0.18,-0.4,-0.38,-0.15
5016 松和,2.68,1.71,0.58,1.7,1.1,0.61,0.41,3.02,2.27,1.53,0.88,2.01,1.33,0.86,0.46,0.72,0.91,0.54,0.15
5102 富強,0.54,0.33,0.1,0.83,0.6,0.35,0.13,0.94,0.66,0.3,0.06,0.61,0.45,0.24,0.09,0.98,0.67,0.76,0.49
5201 凱衛,-0.41,-0.69,-0.29,1.26,0.84,0.22,0.33,1.2,0.6,0.57,0.14,1.36,1.51,1.01,1.02,0.43,0.02,-0.21,-0.19
5202 力新,0.3,0.21,-0.01,0.38,0.2,0.11,-0.04,0.07,-0.02,-0.09,0.02,-1.27,-0.64,-0.47,-0.05,-2.45,-1.84,-1.7,0
5203 訊連,1.91,1.58,0.93,5.6,3.98,2.33,1.07,7.06,4.87,3.04,1.72,7.07,5.16,3.73,2.1,6.9,4.71,3.35,1.87
5205 漢康,-0.84,-0.63,-0.27,-0.6,-0.23,-0.03,0.18,-1.65,-1.54,-1.13,-0.64,-8.09,-2.73,-2.43,-0.5,-8.5,-4.82,-3.69,-2.04
5206 坤悅,1.1,-0.16,-0.06,2.75,1.26,0.21,-0.21,0.15,0.26,-0.47,-0.15,2.21,2.58,1.88,-0.16,1.17,1.33,1.44,1.09
5209 新鼎,2.33,1.62,0.7,3.4,2.54,1.67,0.85,3.44,2.59,1.83,0.97,4.32,3.26,1.94,0.61,5.38,4.68,2.95,1.39
5210 寶碩,-0.11,-0.1,-0.35,0.03,-0.12,0.17,-0.11,0.33,0.01,-0.05,0,0.01,-0.16,-0.13,-0.06,0.04,-0.16,-0.04,0.02
5211 蒙恬,0.57,0.4,0.21,0.63,0.43,0.24,0.11,0.92,0.69,0.52,0.26,0.79,0.54,0.33,0.17,1.68,1.38,1.03,0.55
5212 凌網,0.23,-0.36,-0.51,0.89,0.34,-0.11,-0.4,0.57,0.01,-0.55,-0.42,-1.09,-1.55,-1.24,-0.9,0.32,-1.56,-1.43,-0.94
5213 亞昕,-0.48,-0.23,0.09,2.4,1.3,1.52,1.55,1.83,-0.02,0.03,-0.19,4.23,4.02,3.02,2.44,3.13,1.6,1.76,0.44
5215 科嘉-KY,0.81,0.34,0.08,4.3,3.16,1.9,0.84,4.28,3.06,1.61,0.51,1.01,0.72,0.3,0.18,4.54,3.38,2.46,0.9
5225 東科-KY,1.56,0.02,0.22,4.23,3.29,1.1,0.92,4.36,3.53,1.47,0.12,5.41,4.75,2.71,1.13,5.37,4.15,2.08,1.05
5227 立凱-KY,-0.11,-0.59,-0.48,-2.65,-2.18,-1.74,-0.81,-3.96,-3.26,-2.23,-0.81,-3.36,-2.38,-1.64,-0.56,-2.05,,,
5230 雷笛克光學,1.71,0.97,0.49,2.6,2.06,1.41,0.35,2.13,1.63,1.06,0.3,3.22,2.62,2.15,0.64,4.28,3.03,1.74,0.37
5234 達興材料,2.55,1.41,0.59,2.86,2.25,1.54,0.86,3.25,2.18,1.41,0.73,4.62,3.35,2.24,1.17,4.05,2.93,1.8,0.69
5243 乙盛-KY,1.6,0.98,0.48,1.73,1.26,0.8,0.4,3.01,2.2,1.38,0.6,2.55,1.85,1.17,0.48,1.63,,,
5245 智晶,4.74,3.49,1.98,3.89,2.72,1.26,0.6,2.79,2.03,1.26,0.7,0.67,0.28,0.13,,-1.09,,-0.22,
5251 天鉞電,1.47,1.2,0.37,2.4,1.87,1.31,0.81,4.01,3.25,2.08,1.07,7.35,6.4,4.21,2.17,5.54,3.89,1.84,0.72
5255 美桀,1.61,0.62,0.13,0.29,0.16,0.1,0.04,1.26,1.09,0.89,0.44,2.17,1.43,1.33,0.54,1.21,,0.69,
5258 虹堡,3.85,3.66,,1.55,2.17,0.7,,1.42,,0.74,,1.8,,0.57,,1.85,,0.81,
5259 清惠,-10.24,-3.12,-2.77,-8.47,-3.69,-1.14,-0.56,-2.5,-1.5,-0.96,-0.48,-1.04,-0.35,-0.18,0.28,1.2,,0.08,
5263 智崴,0.51,0.05,0.22,2.57,2.38,0.86,-0.04,6.83,6.89,5.88,3.56,-0.22,-2.64,-1.72,-0.99,2.29,1.48,0.66,0.35
5264 鎧勝-KY,5.07,3.99,2.72,16.59,10.23,5.48,2.66,14.49,10.07,6.31,3.3,18.1,12.9,9.02,5.24,11.48,6.85,3.18,
5269 祥碩,4.04,2.03,1.1,3.66,2.38,0.76,0.64,4.04,3.04,2.06,0.85,1.54,1.2,0.96,0.41,4.23,4.03,2.79,1.34
5272 笙科,0.93,0.51,0.15,1.13,0.82,0.68,0.44,2.97,2.03,1.44,0.72,2.68,2.17,1.26,0.56,2.58,2.03,1.11,
5274 信驊,9.4,5.7,2.83,10.79,8.23,5.42,3.09,10.72,7.62,5.33,2.42,7.4,5.45,3.64,1.89,6.5,4.65,2.93,
5276 達輝-KY,1.18,0.78,0.41,2.09,1.7,1.06,0.65,1.94,1.42,0.98,0.38,3.02,2.25,0.77,0.65,-0.39,4.13,2.63,
5278 尚凡,-5.07,-3.51,-1.31,-5.68,-2.87,-1.24,-0.86,1.09,1.38,1.03,0.88,6.51,4.98,3.32,2.11,7.94,4.9,2.68,
5281 大峽谷-KY,1.43,-0.12,0.04,2.61,2.18,1.51,-0.2,1.88,,,,,,,,,,,
5284 jpp-KY,3.01,2.11,1.02,5.11,4.24,2.35,0.94,4.43,3.36,2.15,0.97,4.3,1.81,0.12,,3.41,,,
5285 界霖,1.25,0.72,0.39,2.25,1.92,1.08,0.58,3.12,2.28,1.51,0.66,1.83,1.28,0.86,0.47,1.38,,0.57,
5287 數字,9.6,6.06,2.39,12.16,8.89,5.6,2.71,14.11,11.21,7.38,3.08,12.29,8.69,6.09,2.82,10.66,,4.67,
5288 豐祥-KY,5.08,3.46,1.97,7.5,5.35,2.93,1.71,5.77,4.24,2.97,1.48,5.6,4.16,3.16,2.01,6.79,,,
5289 宜鼎,5,3.54,2.04,9.02,6.41,3.75,1.84,8.57,5.52,3.73,1.67,5.68,4.37,3.31,1.74,5.18,,,
