,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
中宇,s1535,3.15,3.16,2.97,5.32,5.35,5.08,5.23,6.58,6.37,5.27,5.63,5.99,5.98,6.25,6.5,5.65,6.68,6.98,7.53
和大,s1536,18.5,19.6,18.13,20.53,20.52,17.53,16.95,16.8,15.83,15.46,15.76,11.69,11.13,10.65,12.49,7.92,8.32,8.9,9.22
廣隆,s1537,12.93,13.11,12,11.54,11.26,9.58,9.55,10,9.62,9.07,9.65,10.17,10.58,11.84,13.67,10.69,10.1,9.09,7.36
正峰新,s1538,-0.65,-1.14,0.04,-7.19,-2.43,-37.88,-46.49,-6.15,-2.18,4.59,11.73,-59.68,-31.19,-36.53,-53.52,-28.34,-26.59,-25.37,-23.99
巨庭,s1539,5.21,6.82,7.94,8.1,9.46,5.75,6.96,5.25,5.17,4.61,4.94,4.63,5.48,6.69,6.71,-1.09,-1.36,-1.98,-4.53
喬福,s1540,4.73,6.84,8.93,6.92,12.12,9.97,15.51,17.58,14.58,16.32,19.75,12.52,11.56,13.71,17.29,7.65,11.23,11.99,11.06
錩泰,s1541,8.73,10.56,10.35,9.8,9.8,5.63,5.06,6.04,4.79,3.73,6.05,-1.24,0,1.72,-1.7,-5.09,-2.37,-1.27,0.25
伸興,s1558,13.02,12.39,7.43,14.43,14.91,10.91,9.19,13.4,13.26,11.73,12.15,12.95,13.54,13.62,12.86,11.59,11.94,10.43,6.8
中砂,s1560,11.87,11.62,10.38,14.42,15.06,15.03,14.86,15,14.95,15.76,14.86,12.95,12.64,12.44,11.97,11.51,10.9,10.45,10.18
精華,s1565,27.08,27.73,27.01,24.85,24.76,20.98,21.34,29.07,29.61,31.84,36.15,30.6,30.58,31.09,33.32,28.88,28.97,28.98,27.52
