company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
勤益控,1437,60272,269918,61674,-20551,21923,16561,34610,8948,14223,95874,97146,-454114,-84034,-18364,-37950,47025,-29301,3135,-11429
裕豐,1438,-1047,-1087,-1422,-4682,4303,-1727,13088,6717,-994,-1271,-806,7108,5906,13376,3374,-3503,9306,8591,-1745
中和,1439,3924,-2295,-3326,10,175,256,197,2519,2223,-1255,-2718,-207,83,-877,2636,-2347,-431,-7861,2268
南紡,1440,191617,169399,11076,202823,354222,404360,190808,35049,118968,118457,106415,158066,312464,394276,332155,288776,182783,256399,-74934
大東,1441,-68295,-67995,-26237,-24287,-18402,-7899,-32991,-87188,-60638,-30785,-15939,-1109,-17337,419,5823,32265,-20577,13558,-17198
名軒,1442,414242,119352,8212,121857,96607,306433,37761,144117,47680,97263,126044,42241,265361,676168,318438,47704,21633,103922,143966
立益,1443,-69198,-50297,-131077,-83957,8970,-36846,-93580,114578,-185310,-93604,-74145,-65987,-69216,-31450,-8265,-101184,-34249,-104190,-68992
力麗,1444,-198518,64087,-6394,62505,142236,114696,89423,67853,92425,-34198,105859,60863,289712,145010,199992,207616,705127,-661783,509254
大宇,1445,13794,26692,13304,18940,30016,24198,16507,7072,1397,9816,10779,6760,17715,23264,17549,233,3415,10528,9099
宏和,1446,34336,13826,2742,-37682,-1416,-4212,5107,-4563,-1908,4361,15380,-16327,-10505,3086,12310,-21039,-16869,-18784,27747
